Stock_Date,Stock_Index_Change,Stock_Percent_Change,Stock_Open,Stock_Highest,Stock_Lowest,Stock_Closed,Stock_AVG,Stock_Adjusted_Closed,Stock_Volume,Stock_Company_Code
05/09/2022,-0.15,-0.61%,24.55,24.75,24.45,24.5,24.56,24.5,2396400,ACB
31/08/2022,0.1,0.41%,24.55,24.75,24.55,24.65,24.62,24.65,1967000,ACB
30/08/2022,0,0.00%,24.6,24.85,24.55,24.55,24.67,24.55,2396400,ACB
29/08/2022,-0.25,-1.01%,24.45,24.7,24.3,24.55,24.46,24.55,3599300,ACB
26/08/2022,-0.2,-0.80%,25.1,25.3,24.75,24.8,25.04,24.8,3878700,ACB
25/08/2022,0.15,0.60%,24.85,25,24.75,25,24.87,25,3631800,ACB
24/08/2022,0.05,0.20%,24.7,24.9,24.65,24.85,24.75,24.85,2753500,ACB
23/08/2022,0.15,0.61%,24.35,24.8,24.2,24.8,24.42,24.8,2385000,ACB
22/08/2022,-0.2,-0.80%,24.8,24.8,24.6,24.65,24.68,24.65,2239300,ACB
19/08/2022,-0.3,-1.19%,25.15,25.15,24.8,24.85,24.92,24.85,1909000,ACB
18/08/2022,0.2,0.80%,24.95,25.25,24.8,25.15,25.07,25.15,5981500,ACB
17/08/2022,0.1,0.40%,24.95,25,24.85,24.95,24.94,24.95,3350600,ACB
16/08/2022,-0.1,-0.40%,24.9,24.95,24.65,24.85,24.78,24.85,3234500,ACB
15/08/2022,0.15,0.60%,24.9,25.15,24.8,24.95,24.93,24.95,3154600,ACB
12/08/2022,0.05,0.20%,24.7,24.85,24.6,24.8,24.72,24.8,1482500,ACB
11/08/2022,-0.1,-0.40%,25,25.1,24.7,24.75,24.93,24.75,3442200,ACB
10/08/2022,-0.1,-0.40%,24.95,25.05,24.75,24.85,24.89,24.85,1987700,ACB
09/08/2022,0.2,0.81%,24.9,25,24.7,24.95,24.85,24.95,3945100,ACB
08/08/2022,-0.1,-0.40%,24.8,25,24.65,24.75,24.78,24.75,3202100,ACB
05/08/2022,-0.15,-0.60%,25,25,24.5,24.85,24.73,24.85,3762800,ACB
04/08/2022,0.05,0.20%,25,25.25,24.9,25,25.03,25,4390100,ACB
03/08/2022,0.05,0.20%,25,25.05,24.7,24.95,24.87,24.95,7920900,ACB
02/08/2022,-0.1,-0.40%,25,25.05,24.7,24.9,24.85,24.9,3591300,ACB
